T_A[K] T_B[K] Setpoint[K] SR860x[V] SR860y[V] SR860f[Hz] SR860sin[V] SR860theta[deg] SR860phase[deg] SR860mag[V] HTR CNT DateTime
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 1 2025-05-07_15:34:04.942397
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 2 2025-05-07_15:34:10.017910
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 3 2025-05-07_15:34:15.109853
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 4 2025-05-07_15:34:20.194052
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 5 2025-05-07_15:34:25.273244
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 6 2025-05-07_15:34:30.367556
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 7 2025-05-07_15:34:35.456958
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.32 90.00 0.000066 +000.0 8 2025-05-07_15:34:40.537986
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 9 2025-05-07_15:34:45.602861
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 10 2025-05-07_15:34:50.695432
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 11 2025-05-07_15:34:55.777020
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 12 2025-05-07_15:35:00.864040
298.750000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 13 2025-05-07_15:35:05.951335
298.750000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 14 2025-05-07_15:35:11.036915
298.740000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 15 2025-05-07_15:35:16.125773
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.32 90.00 0.000066 +000.0 16 2025-05-07_15:35:21.211947
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 17 2025-05-07_15:35:26.294666
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 18 2025-05-07_15:35:31.368785
298.740000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 19 2025-05-07_15:35:36.451901
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 20 2025-05-07_15:35:41.534505
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.32 90.00 0.000066 +000.0 21 2025-05-07_15:35:46.610127
298.750000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 22 2025-05-07_15:35:51.697024
298.730000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 23 2025-05-07_15:35:56.769551
298.740000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 24 2025-05-07_15:36:01.866306
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.36 90.00 0.000066 +000.0 25 2025-05-07_15:36:06.965131
298.750000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.33 90.00 0.000066 +000.0 26 2025-05-07_15:36:12.057421
298.730000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.35 90.00 0.000066 +000.0 27 2025-05-07_15:36:17.143898
298.740000 298.830000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 28 2025-05-07_15:36:22.227325
298.740000 298.820000 300.000000 0.000066 -0.000007 5032.00 0.600000 -6.34 90.00 0.000066 +000.0 29 2025-05-07_15:36:27.312977
